,name,avg_viewers,time_streamed,all_time_peak_viewers,hours_watched,rank,follower_gained,total_followers,total_views
1677,KELRASOFTV,73,49.9,836,3600.0,32709,350.0,44800.0,--
1678,SIMPSON_FAN,94,18.1,345,1700.0,32714,186.0,190,--
1679,APOCHE_,104,7.7,199,797.0,32722,5.0,272,--
1680,MARIEBOISEAU,100,11.8,912,1200.0,32732,43.0,7000.0,--
1681,APOCALYPSE666NOW,34,213.1,70,7200.0,32733,158.0,1700.0,--
1682,ABSOLEM_FR,51,110.7,311,5600.0,32779,316.0,1000.0,--
1683,TSUNADIDA,73,50.1,1616,3700.0,32828,216.0,26900.0,648000
1684,INFINITEAZZ,100,12.0,916,1200.0,32840,54.0,6300.0,--
1685,FUUUAAARK,68,60.1,1577,4100.0,32845,41.0,6600.0,--
1686,JOFFRE_TIBOY,35,200.9,197,7100.0,32846,105.0,2100.0,--
1687,MICHELLEBANGER,60,79.9,429,4800.0,32853,235.0,688,--
1688,CLINKO,79,38.1,435,3000.0,32906,1400.0,33900.0,--
1689,MALIM0O,85,29.3,386,2500.0,32961,13.0,2900.0,--
1690,DERKOMAI22,58,84.6,704,4900.0,32990,1.0,12800.0,595000
1691,VALYARIS,71,52.9,1895,3700.0,32999,14.0,19800.0,429000
1692,MYSTERC,66,62.7,510,4200.0,33042,790.0,11400.0,--
1693,LATAVERNEDEPATATUS,47,125.4,960,5900.0,33076,38.0,7800.0,--
1694,THEROCK666,41,158.2,66,6400.0,33082,33.0,1300.0,--
1695,SLOVEYCOW,99,11.3,613,1100.0,33089,1.0,1800.0,--
1696,MALCOLMTV_01,87,26.0,240,2300.0,33120,280.0,289,--
1697,TRISHAEL,49,116.8,239,5700.0,33127,49.0,8300.0,--
1698,ZATISTV,100,10.8,2914,1100.0,33137,163.0,28500.0,--
1699,NAMELESSHSEU,90,21.5,1178,1900.0,33146,36.0,1500.0,--
1700,AMYDML,40,163.7,105,6500.0,33156,356.0,453,--
1701,BADOCS,44,139.1,433,6100.0,33176,78.0,4800.0,--
1702,ITAAH,74,45.9,10614,3400.0,33235,238.0,4500.0,1270000.0
1703,CARLTHEBOSS1,40,162.6,183,6400.0,33304,198.0,2500.0,--
1704,MATHYSICN,83,30.9,517,2600.0,33323,40.0,339,--
1705,NIJOXX7,88,23.9,144,2100.0,33331,18.0,174,--
1706,BIGFOOTYSNAKE,81,33.0,746,2700.0,33347,262.0,279,--
1707,NONIOCLST,51,105.8,105,5400.0,33367,212.0,7600.0,--
1708,123LUNATIC,79,35.7,9915,2800.0,33374,186.0,47900.0,1750000.0
1709,DEEJAYMAKINA,78,37.6,357,2900.0,33376,51.0,5600.0,--
1710,YAEKA,25,308.7,480,7800.0,33384,34.0,1300.0,--
1711,MICK3Y54,98,11.4,8781,1100.0,33395,3.0,30500.0,2340000.0
1712,LETIMID,99,10.4,189,1000.0,33404,281.0,10200.0,--
1713,ROK_FOXY,91,19.4,192,1800.0,33465,168.0,1800.0,--
1714,XATUFOX,73,46.3,236,3400.0,33469,37.0,2100.0,--
1715,LADYCROCO,51,106.6,1653,5400.0,33483,127.0,6700.0,--
1716,REMSTWITCHOFF,74,44.2,838,3300.0,33493,296.0,15100.0,--
1717,SPICY_FR,46,128.2,1758,5800.0,33498,38.0,41200.0,1720000.0
1718,TOTOLAVIGNE,61,72.7,217,4400.0,33521,40.0,3200.0,--
1719,DID0US,52,99.6,284,5200.0,33523,94.0,4200.0,--
1720,BERNAISE420,34,201.5,100,6900.0,33551,152.0,2400.0,--
1721,IAMTLT,97,11.8,1653,1100.0,33568,33.0,7800.0,--
1722,FELIXLECHAT158,82,30.3,120,2500.0,33599,1.0,507,--
1723,XELEKO,56,86.8,810,4900.0,33612,63.0,33200.0,1120000.0
1724,NAGYF4SZU_OLIVER,103,5.9,108,601.0,33638,0.0,1200.0,--
1725,REIKAA_25,36,183.9,350,6700.0,33648,233.0,3000.0,--
1726,JOBZNT23,89,20.8,413,1800.0,33697,175.0,4200.0,--
1727,JENYPRESTON,102,6.4,1032,654.0,33703,63.0,20000.0,224000
1728,RAYM_CIV,97,11.3,242,1100.0,33726,52.0,121,--
1729,SHARLOT,64,63.6,378,4100.0,33751,231.0,6700.0,--
1730,SPACEKAERU,77,38.2,6094,2900.0,33791,26.0,8200.0,--
1731,LLAUDEM,85,25.9,3098,2200.0,33792,43.0,9300.0,--
1732,MELOKA,47,121.5,2625,5700.0,33793,67.0,7800.0,--
1733,EUPHORIASIS,66,59.3,1399,3900.0,33823,81.0,3600.0,--
1734,AZREL1K,52,98.8,327,5200.0,33829,183.0,1800.0,--
1735,LEMONDEDESHAKI,36,181.3,301,6600.0,33830,89.0,8000.0,--
1736,CAYJON_,29,249.1,877,7300.0,33854,35.0,33500.0,5180000.0
1737,YTHNK,39,159.0,81,6300.0,33860,133.0,451,--
1738,ELBISOU,35,192.1,277,6700.0,33869,93.0,6900.0,--
1739,XPERION_TFT,79,33.8,2576,2700.0,33946,49.0,14200.0,--
1740,TRISHA_187QC,68,53.8,636,3700.0,33972,2100.0,13100.0,--
1741,LA_GOLINVAL,76,38.9,378,3000.0,33996,231.0,3500.0,--
1742,HOSARNY,56,84.1,137,4700.0,34001,212.0,3600.0,--
1743,AAAAYMEN,78,35.3,4088,2800.0,34006,344.0,6300.0,--
1744,MARCELPIGNOL,81,30.8,478,2500.0,34015,127.0,1800.0,--
1745,TTITOFF,41,147.4,131,6100.0,34021,41.0,3300.0,--
1746,SKRATITV,44,131.8,358,5800.0,34027,265.0,11600.0,--
1747,LESNEVRALGIQUES,90,18.1,318,1600.0,34043,11.0,7200.0,--
1748,CHARLENE,66,56.8,474,3800.0,34044,45.0,8800.0,--
1749,PAMBOUM,98,9.1,380,891.0,34055,52.0,12000.0,--
1750,MOSIMANNOFFICIAL,96,11.1,1178,1100.0,34075,182.0,4700.0,--
1751,HARDISK,97,9.8,1901,951.0,34096,23.0,42100.0,--
1752,BDS_THE_KALASH,54,90.2,2574,4900.0,34141,92.0,2200.0,--
1753,SLASHINGCREEPS,64,61.5,323,4000.0,34160,142.0,4500.0,--
1754,GHOSTVONE,44,130.9,707,5700.0,34256,26.0,8800.0,484000
1755,KREEKS,49,108.4,11195,5300.0,34257,53.0,150000,2630000.0
1756,HEMORRAGINE,52,95.9,183,5000.0,34264,71.0,1700.0,--
1757,NEIGHT,93,13.8,816,1300.0,34273,98.0,6800.0,--
1758,ANTONIODEIFUEGO,89,18.1,147,1600.0,34328,705.0,5900.0,--
1759,BAZOULIFE,85,23.3,1821,2000.0,34352,85.0,3700.0,--
1760,TANCREDTERROR,44,131.2,199,5700.0,34356,95.0,2500.0,--
1761,MLLEHAILEY,87,20.4,2942,1800.0,34364,313.0,28900.0,--
1762,QIDOU,80,30.3,2392,2400.0,34384,196.0,18900.0,--
1763,BILLIECHOU,76,36.1,3489,2700.0,34398,43.0,35700.0,2360000.0
1764,FLANNOU,79,31.7,681,2500.0,34409,621.0,48400.0,--
1765,PETITOURS,44,129.0,744,5600.0,34410,148.0,6600.0,--
1766,MISTERFL0W,42,138.9,264,5800.0,34417,89.0,11400.0,--
1767,MAYTAKI,59,73.0,1921,4300.0,34420,24.0,31100.0,625000
1768,MAGISTROXTTV,69,48.9,357,3400.0,34438,2100.0,18500.0,--
1769,JOJOTV300_,100,5.8,660,579.0,34441,8.0,115,--
1770,SHEIYAH,74,39.5,285,2900.0,34479,96.0,1300.0,--
1771,SYNOP_S,64,59.3,2400,3800.0,34481,122.0,5900.0,--
1772,R0DIK,32,209.7,1374,6700.0,34483,19.0,11400.0,289000
1773,VIIBRODII,36,177.6,3932,6400.0,34527,357.0,3300.0,--
1774,CORNOVR,96,8.8,178,852.0,34584,810.0,24800.0,--
1775,AFTERPT,70,46.1,546,3200.0,34595,31.0,2600.0,--
1776,1KLAWZ,50,100.5,612,5000.0,34596,290.0,2200.0,--
1777,REMSLEVRAI,65,57.0,1649,3700.0,34597,146.0,24000.0,--
1778,WINDSURFER2105,83,24.3,2100,2000.0,34630,55.0,3600.0,--
1779,BRICKMITRI,88,18.3,696,1600.0,34684,20.0,8300.0,--
1780,ELNORAELEO,60,69.0,4848,4100.0,34685,81.0,7900.0,--
1781,ELCORSICO_OFF,82,26.5,507,2200.0,34697,532.0,6000.0,--
1782,RETHALY,82,26.6,155,2200.0,34708,198.0,5700.0,--
1783,2V_BRUTUS,75,36.9,2906,2800.0,34712,122.0,43300.0,--
1784,NAIKO_DOFUS,41,144.7,176,5900.0,34715,181.0,2500.0,--
1785,M0STWANT9D,89,17.2,377,1500.0,34722,6.0,3600.0,--
1786,TROMA,96,8.8,2513,844.0,34746,11.0,37600.0,697000
1787,ALEXTRO23,41,142.3,961,5800.0,34771,42.0,4500.0,--
1788,ADYBOO,65,55.7,5314,3600.0,34778,37.0,12200.0,--
1789,NERU,61,66.0,6279,4000.0,34789,93.0,6400.0,1350000.0
1790,CRANEUR_,57,76.7,143,4400.0,34805,1300.0,13900.0,--
1791,TONCALBUTEMEREBUTE,79,30.1,647,2400.0,34843,80.0,1000.0,--
1792,IMDRISS,73,40.2,257,2900.0,34844,230.0,18300.0,--
1793,LINUZHIA,46,117.2,221,5300.0,34847,44.0,3900.0,--
1794,ISOTOPTV,72,41.5,434,3000.0,34879,375.0,387,--
1795,0FLASHTV64,96,8.1,107,778.0,34891,0.0,1300.0,--
1796,WNSENSOO,58,73.1,301,4300.0,34904,2000.0,8700.0,--
1797,CAPTAIN_FRAKAS,61,64.5,695,4000.0,34925,98.0,7100.0,--
1798,LEPAQ,55,81.5,574,4500.0,34966,530.0,17000.0,--
1799,SAITAIKE,78,30.4,4851,2400.0,34971,63.0,26000.0,385000
1800,COACH_F0X,87,18.2,358,1600.0,34992,652.0,4400.0,--
1801,ULYSSE,35,178.4,1506,6300.0,34997,774.0,7900.0,--
1802,LAYKIZZTV,79,28.9,450,2300.0,35013,1100.0,25100.0,--
1803,WALES27FOREVER,36,171.4,87,6200.0,35052,25.0,3200.0,--
1804,LINSA,59,69.5,896,4100.0,35082,39.0,31800.0,1260000.0
1805,BECKYANDCLOUD,81,26.1,541,2100.0,35096,116.0,8100.0,--
1806,PAWA_CHAN,88,17.1,745,1500.0,35131,21.0,10000.0,--
1807,MILADEBLOIS,82,24.6,512,2000.0,35133,78.0,3300.0,--
1808,LECHEFSOUTHPARK,54,83.3,95,4500.0,35171,36.0,36,--
1809,YONLEFOU,56,77.5,657,4300.0,35182,187.0,10000.0,--
1810,SIDEMAUL,96,7.2,306,693.0,35189,138.0,2900.0,--
1811,SAPYN,94,9.2,1472,864.0,35227,28.0,4900.0,--
1812,ZEIKOTTV_,38,155.1,589,6000.0,35233,133.0,8700.0,--
1813,CHARLEY42069QC,31,215.1,501,6600.0,35248,26.0,4400.0,--
1814,KARENWNB,78,29.8,428,2300.0,35289,167.0,12400.0,--
1815,TEAMDIAMOND__,40,144.6,400,5800.0,35293,1600.0,16300.0,--
1816,SAYYTO__,74,36.6,179,2700.0,35299,192.0,1700.0,--
1817,MEMENNTV,80,26.5,542,2100.0,35323,23.0,7700.0,--
1818,BLOODY_EFFY,89,14.8,1920,1300.0,35329,38.0,9400.0,--
1819,OIRAN_XS,45,115.7,104,5200.0,35352,129.0,2900.0,--
1820,SSHINATO,47,108.7,204,5100.0,35358,35.0,1300.0,--
1821,SELEK___,90,13.2,595,1200.0,35359,15.0,25100.0,1050000.0
1822,TITO_YOGA,43,127.7,347,5400.0,35387,50.0,5300.0,--
1823,AFTERNOUNE,49,99.7,2480,4900.0,35438,143.0,2100.0,--
1824,KAAMIKAZEE17,75,34.1,358,2500.0,35441,42.0,3400.0,--
1825,JUSSETAIN,97,5.4,9773,529.0,35442,149.0,45500.0,2650000.0
1826,OTHERGUN,61,63.4,1243,3800.0,35462,31.0,28700.0,--
1827,FRIZY2Z,77,30.3,493,2300.0,35503,365.0,860,--
1828,TVPROKO,32,202.8,98,6500.0,35507,296.0,2400.0,--
1829,KWIKWIII,66,50.0,185,3300.0,35547,70.0,1700.0,--
1830,MLLESOLENYA,49,99.1,145,4800.0,35601,364.0,1900.0,--
1831,TINA_ASMR,97,5.0,760,487.0,35612,326.0,24600.0,--
1832,NHELIM,53,83.8,1613,4500.0,35617,65.0,8000.0,--
1833,LCPASSEMBLEENATIONALE,96,6.0,170,576.0,35651,261.0,580,--
1834,ELFYCLEM_LIFESKILL,32,201.6,826,6400.0,35698,81.0,602,--
1835,YOUP_TV,93,8.2,344,758.0,35711,0.0,363,--
1836,FACK7UP,95,6.2,588,590.0,35722,3.0,37500.0,1550000.0
1837,SPIDY_HS,62,58.6,381,3600.0,35740,11.0,1900.0,--
1838,YANKA_TV,55,76.4,272,4200.0,35741,72.0,8200.0,--
1839,PORTIISTAA17,86,16.1,389,1400.0,35756,80.0,3300.0,--
1840,LE_SKIZ,24,290.1,207,7000.0,35768,49.0,2100.0,--
1841,LOTOQUEBEC,90,11.4,2967,1000.0,35868,31.0,6100.0,--
1842,PMUTV,76,30.0,1734,2300.0,35870,19.0,23500.0,794000
1843,SKITE,95,6.2,14631,583.0,35873,200.0,256000,3590000.0
1844,AYANELTV,27,252.8,150,6700.0,35899,55.0,1300.0,--
1845,CHIZE,89,12.3,359,1100.0,35911,21.0,6200.0,--
1846,YOLONOU,59,65.0,2531,3800.0,35974,19.0,9700.0,1220000.0
1847,SCORPIO,49,95.1,194,4700.0,35977,6.0,6500.0,--
1848,LIZZIE_LISTENING,57,69.7,859,4000.0,35990,1900.0,4700.0,--
1849,RARE_S4PHIIR,42,127.5,1220,5400.0,36005,377.0,6400.0,--
1850,RENAUDRENGI,65,50.1,467,3300.0,36006,814.0,80500.0,--
1851,LINKOREP,64,52.1,415,3300.0,36010,24.0,5200.0,--
1852,MSKYZII,65,50.5,793,3300.0,36023,99.0,12300.0,--
1853,1IRREDUCTIBLEATHEE,87,14.5,219,1300.0,36051,45.0,2500.0,--
1854,DEADMEURT_QC,48,99.2,89,4700.0,36085,70.0,1400.0,--
1855,SHAYNIS_TV,29,221.9,408,6500.0,36104,111.0,2000.0,--
1856,PLAY_MK8,54,77.6,11354,4200.0,36126,35.0,21200.0,--
1857,BOWA08,58,66.2,146,3800.0,36135,214.0,3400.0,--
1858,REDG,47,102.0,511,4800.0,36138,71.0,2300.0,--
1859,SHUNRIM,87,13.6,1157,1200.0,36141,68.0,4000.0,--
1860,LEPOLETT,59,62.8,102,3700.0,36181,15.0,3900.0,--
1861,MOUTLAR_,56,72.0,108,4000.0,36196,139.0,1400.0,--
1862,PVCCINI,39,141.7,539,5500.0,36197,135.0,15800.0,--
1863,DGJXBOLOSS,75,30.4,113,2300.0,36199,42.0,2200.0,--
1864,LEYTON_V2,77,27.6,131,2100.0,36201,1800.0,3000.0,--
1865,ZARKIPEUF,39,143.0,314,5600.0,36221,211.0,1300.0,--
1866,FREEZOX45,79,24.2,83,1900.0,36241,4.0,2000.0,--
1867,SAYNJON,40,133.6,438,5400.0,36271,94.0,1600.0,--
1868,KATH_LAPETITEVOIX,72,35.0,1649,2500.0,36294,273.0,2300.0,--
1869,PIMOUSSE_TV,67,44.7,1884,3000.0,36320,74.0,35600.0,453000
1870,GAUTSLAYER,81,20.6,481,1700.0,36335,28.0,2500.0,--
1871,CHATON_SAUVAGE_,42,126.1,143,5200.0,36338,113.0,1500.0,--
1872,HENLEYA,69,40.3,322,2800.0,36344,58.0,5800.0,--
1873,RUUSSKOV,74,31.3,1444,2300.0,36349,26.0,22700.0,--
1874,IMMERSIVTV,72,34.8,859,2500.0,36379,62.0,16800.0,--
1875,MRQUOTY,50,89.8,2216,4500.0,36383,98.0,43400.0,322000
1876,AELTHAN,93,6.3,757,586.0,36391,6.0,8000.0,--
1877,ZEEKED,64,50.7,3780,3300.0,36395,81.0,22300.0,359000
1878,NIFEX8,46,105.2,387,4900.0,36403,51.0,70200.0,1030000.0
1879,WMINUS,46,107.2,608,4900.0,36425,499.0,628,--
1880,KOUSKOUS_7,67,43.9,421,2900.0,36445,51.0,106,--
1881,YUMEPTITSINGE,70,37.9,429,2700.0,36449,545.0,923,--
1882,MRDAMSO,79,22.8,131,1800.0,36491,1100.0,1100.0,--
1883,BEKOZER,90,8.9,396,806.0,36505,10.0,51,--
1884,E_MULE,58,63.3,1755,3700.0,36523,91.0,9600.0,--
1885,PAPY_GRANT,40,133.4,712,5300.0,36548,3.0,3700.0,--
1886,LEMOOVE_,68,41.7,159,2800.0,36561,592.0,6400.0,--
1887,RIVENTHRAX,52,82.2,146,4300.0,36565,18.0,2100.0,--
1888,EFLYSSEA,43,117.5,200,5100.0,36574,135.0,6000.0,--
1889,BONOORU_,74,30.7,1289,2300.0,36637,39.0,4100.0,--
1890,VICNETSTARDUST,63,50.5,1594,3200.0,36690,194.0,11400.0,--
1891,AMINETHUGO,87,11.9,2549,1000.0,36693,116.0,17500.0,--
1892,AUNTJEMIMOM,54,74.6,266,4000.0,36695,10.0,1200.0,--
1893,MR6RIL,47,100.0,2777,4700.0,36723,178.0,16900.0,--
1894,FIMLOMIR,26,254.0,60,6500.0,36737,70.0,699,--
1895,LEGIONNAIRE_TV,38,142.6,250,5400.0,36740,57.0,2600.0,--
1896,HERMANEL_OFF,84,15.6,363,1300.0,36791,77.0,1100.0,--
1897,OLITHINOA,68,40.6,515,2800.0,36794,143.0,3200.0,--
1898,MONKYJV,47,98.3,798,4600.0,36829,81.0,6000.0,--
1899,DOPAMINW,60,58.2,1164,3500.0,36839,116.0,4000.0,--
1900,MISS_DELIGHT,51,83.6,2419,4300.0,36844,48.0,3900.0,--
1901,ONCLESAM,76,26.1,591,2000.0,36878,8.0,11300.0,520000
1902,JORDYBALA,86,12.0,1179,1000.0,36883,13.0,1800.0,--
1903,SCHKAIA,72,32.8,1106,2300.0,36902,64.0,5400.0,--
1904,JORDANISEN,43,114.8,198,5000.0,36915,23.0,1500.0,--
1905,NAGASERYA,47,98.8,6492,4600.0,36925,24.0,11600.0,872000
1906,BENJAA_1102,66,43.5,787,2900.0,36927,298.0,28300.0,--
1907,VALKJA,42,120.1,723,5000.0,36950,45.0,32200.000000000004,727000
1908,HIKENFR,66,44.0,522,2900.0,36989,272.0,23700.0,--
1909,KIIPITO,36,156.5,606,5600.0,36991,6.0,9600.0,--
1910,DAL_VLR,32,188.0,873,6000.0,37020,142.0,3400.0,--
1911,KELYANETLOANN,89,8.6,126,766.0,37050,893.0,4000.0,--
1912,BESTDISCOVE,90,7.1,163,634.0,37071,95.0,104,--
1913,ZER4TOUL,47,96.9,440,4500.0,37100,24.0,21800.0,466000
1914,MARCUS_SENSEI,30,200.8,317,6100.0,37116,70.0,3000.0,--
1915,DRHARKNESS,33,176.1,250,5800.0,37132,54.0,1700.0,--
1916,MDEETZ,55,70.3,1133,3800.0,37140,19.0,5200.0,--
1917,KITANO_LOL,47,95.9,2365,4500.0,37197,103.0,3600.0,--
1918,DADDYDOGGYTV,52,78.1,324,4100.0,37206,20.0,2200.0,--
1919,ROKKEKS,73,29.4,1574,2100.0,37227,0.0,27800.0,--
1920,MONSIEURVITOO,35,158.6,231,5600.0,37252,101.0,1700.0,--
1921,MEDUSA_DONE,33,178.4,2792,5800.0,37267,32.0,12300.0,--
1922,MR_KOUNI,35,157.8,467,5600.0,37341,67.0,2300.0,--
1923,LADESPTV,36,150.8,65,5500.0,37349,20.0,773,--
1924,YASSI3KS,88,8.4,1462,737.0,37373,148.0,1300.0,--
1925,NZOOO7_,90,6.0,3152,534.0,37397,6.0,47600.0,--
1926,SOUDRAA,86,10.5,914,904.0,37443,136.0,533,--
1927,JULES_CORVUS,53,74.7,358,4000.0,37479,92.0,5900.0,--
1928,PAIHEME,85,10.9,2327,926.0,37493,39.0,14600.0,--
1929,AILYBOU,55,67.0,395,3700.0,37508,109.0,6700.0,--
1930,P4NZERBLITZ,71,31.5,484,2200.0,37543,74.0,8800.0,--
1931,SUNDY,33,170.6,849,5700.0,37575,7.0,14200.0,--
1932,BOBAFETT17,58,58.0,134,3400.0,37595,298.0,589,--
1933,LESCHRONIQUESDUCOMMANDER,90,5.5,425,496.0,37600,21.0,2800.0,--
1934,AMARVOLTE,48,89.8,1026,4300.0,37602,176.0,14600.0,--
1935,VINCECOSA,66,40.3,534,2700.0,37635,97.0,10000.0,--
1936,HRZXV3_,43,111.9,649,4800.0,37672,480.0,675,--
1937,ANTHAGONAS,52,75.6,502,3900.0,37679,24.0,2200.0,--
1938,DASHPROF,64,44.4,3177,2800.0,37739,8.0,15200.0,--
1939,NGKSHODAIME,25,259.3,4564,6400.0,37742,56.0,19400.0,746000
1940,MAMUSHITV,53,71.8,857,3800.0,37747,364.0,11000.0,--
1941,KEVIN_ZACCARA,33,170.8,211,5600.0,37777,313.0,3200.0,--
1942,DREAMSCHANNELIVE,44,106.4,301,4600.0,37780,68.0,8300.0,--
1943,PIXOU_LAB,35,154.3,1152,5500.0,37810,23.0,2300.0,--
1944,LALIGUEGEOGUESSR,89,5.8,368,520.0,37828,2.0,1500.0,--
1945,UNEPETITEMARIE,70,32.6,4599,2300.0,37839,79.0,16300.0,--
1946,LOUISEBHN,67,37.9,273,2500.0,37841,209.0,776,--
1947,YOTOYCARRED,43,110.2,691,4700.0,37884,45.0,651,--
1948,LLCOOLCHRIS_,87,8.0,484,692.0,37918,56.0,5600.0,--
1949,NITRO08TV,25,256.1,53,6400.0,37923,642.0,5400.0,--
1950,BARIEX_,75,24.3,949,1800.0,37929,444.0,2200.0,--
1951,MARTINPONK,61,49.6,1557,3000.0,37944,183.0,69600.0,--
1952,LALITA,66,39.1,1764,2600.0,37965,509.0,40400.0,1600000.0
1953,IGOTYB,77,20.0,924,1500.0,37971,136.0,2300.0,--
1954,DJ_KINGDOM,74,24.5,1139,1800.0,38011,38.0,5800.0,--
1955,JENNYCLBT,44,102.8,816,4600.0,38019,365.0,2300.0,--
1956,LUNIUM,66,39.2,2227,2600.0,38024,23.0,30500.0,520000
1957,PETITPOUCET100,56,62.1,373,3500.0,38027,32.0,4600.0,--
1958,CAROLINESEGARRA,66,39.2,2715,2600.0,38057,29.0,13600.0,--
1959,MAJ0RRTV,37,139.9,1368,5200.0,38074,118.0,12100.0,--
1960,KILLMOONTV,87,7.2,163,630.0,38082,251.0,27400.0,--
1961,NATH_ESTLA,50,80.8,380,4000.0,38086,276.0,6100.0,--
1962,JOHNUS_WHINE,35,153.7,256,5400.0,38118,82.0,2500.0,--
1963,M8_NAGISA,88,6.3,115,549.0,38145,305.0,305,--
1964,NICOCOLOMBIEN,88,5.7,3564,502.0,38159,97.0,20400.0,--
1965,DOMMONEY514,23,283.8,730,6400.0,38191,149.0,12600.0,275000
1966,YORIN_SAN,71,28.9,302,2100.0,38195,249.0,13200.0,--
1967,DESMODROMIQUE,35,152.4,235,5300.0,38197,54.0,1900.0,--
1968,KAMILABSFR,86,8.2,2646,705.0,38202,2.0,16100.000000000002,936000
1969,ASKOOVLR,63,43.9,1033,2800.0,38251,212.0,4000.0,--
1970,BATOU,71,29.1,2366,2000.0,38259,24.0,82300.0,780000
1971,SANIAHASNA,63,44.2,228,2800.0,38315,571.0,5900.0,--
1972,XPIKAMITV,63,44.1,136,2800.0,38320,96.0,2000.0,--
1973,TOKYOEXCLUSIVE,87,6.6,1977,575.0,38335,17.0,4400.0,--
1974,LEBOCALEBZH,30,191.8,326,5700.0,38387,130.0,3300.0,--
1975,SUKUNOS,87,6.1,140,529.0,38394,3.0,80,--
1976,PRINCESS_C_NASSE,25,250.7,99,6200.0,38403,150.0,2600.0,--
1977,WANLAST,64,40.9,1426,2600.0,38410,77.0,61500.0,579000
1978,MISTERWALKY,17,404.6,66,6900.0,38419,76.0,2800.0,--
1979,ELMAAX_ZW,57,56.9,343,3200.0,38420,101.0,2100.0,--
1980,SEBWELLZ,68,33.7,347,2300.0,38475,13.0,31300.0,636000
1981,ZIMAS,87,6.3,2397,549.0,38489,3.0,8200.0,--
1982,GUNFIGHT,77,18.7,1468,1400.0,38524,7.0,21700.0,568000
1983,HAMMERKICK,75,21.4,2961,1600.0,38529,37.0,11300.0,--
1984,LAVOLAILLE31,80,14.9,228,1200.0,38559,168.0,621,--
1985,GIGIPLAYSSIMS,65,39.0,170,2500.0,38565,295.0,3000.0,--
1986,FARKNIGHTT,86,7.5,90,642.0,38572,2600.0,10800.0,--
1987,KUSS89,65,39.0,419,2500.0,38604,13.0,4000.0,--
1988,LEXIIO_,49,80.8,734,4000.0,38617,2400.0,2800.0,--
1989,IRONFLO_,59,50.6,946,3000.0,38622,192.0,898,--
1990,LADYYLUNE,60,49.3,231,2900.0,38629,41.0,2500.0,--
1991,AOS_SITH,64,39.5,1561,2500.0,38636,39.0,4500.0,--
1992,UNSHAARK,52,69.2,276,3600.0,38732,270.0,1600.0,--
1993,YODUBMASTER,69,30.4,194,2100.0,38782,14.0,28,--
1994,CABANETV,87,5.3,330,462.0,38794,19.0,3400.0,--
1995,MOKYX,76,18.8,438,1400.0,38809,9.0,248,--
1996,BIBBI_IMPERATOR,83,9.7,98,806.0,38833,1.0,1300.0,--
1997,MISTERDEAVIS,60,47.8,710,2900.0,38869,24.0,4200.0,--
1998,AKASHICSTREAMING,39,123.3,100,4800.0,38874,18.0,1800.0,--
1999,AZRIETTE,58,52.6,678,3100.0,38877,21.0,23100.0,1490000.0
2000,CLAD3815,68,31.1,700,2100.0,38881,82.0,27200.0,--
2001,ELVINOMOVIES,61,45.3,3078,2700.0,38905,38.0,12800.0,240000
2002,THEDEVILISHBABE,71,26.4,2246,1900.0,38938,74.0,55500.0,1490000.0
2003,PLANTCHOU_13,34,153.7,408,5200.0,38963,174.0,3600.0,--
2004,RESIDENTMAIDEN,49,78.5,868,3900.0,38982,56.0,1400.0,--
2005,CAPTAINWILDS_,39,122.3,213,4700.0,39043,99.0,1600.0,--
2006,MIHAWKTTV,31,174.0,369,5500.0,39064,180.0,4100.0,--
2007,LEGUEDRIC,72,24.5,213,1800.0,39070,79.0,5500.0,--
2008,AUNNI,47,86.4,1530,4100.0,39096,70.0,10500.0,--
2009,DAMS_OW,44,98.3,889,4300.0,39117,57.0,8500.0,--
2010,CLAEDEUSFR,41,110.6,881,4500.0,39118,50.0,20900.0,1760000.0
2011,TRAAPX_,59,48.8,295,2900.0,39140,80.0,83100.0,--
2012,STROWBEAR_TV,83,8.5,2531,703.0,39165,2.0,2700.0,608000
2013,ALBYREX_,46,88.6,1116,4100.0,39184,104.0,7400.0,--
2014,SHUPERNESS,33,161.0,70,5300.0,39208,74.0,729,--
2015,TOUTSECOMPREND,57,53.5,2173,3000.0,39219,75.0,8900.0,--
2016,SELDELL,62,42.6,1819,2600.0,39242,27.0,8700.0,277000
2017,ONICHAN,46,88.1,585,4100.0,39260,47.0,9500.0,--
2018,HONEYYY_VEE,43,101.3,173,4300.0,39297,354.0,1100.0,--
2019,M9_NAGISA,81,10.4,138,840.0,39357,304.0,304,--
2020,KALASHMTL,54,61.2,104,3300.0,39365,245.0,525,--
2021,LAGAMEUSEELLE,40,113.3,113,4500.0,39390,198.0,1200.0,--
2022,HBTREIZE,85,5.4,1082,459.0,39418,259.0,389,--
2023,LOFIMARIA_,65,35.0,122,2300.0,39423,146.0,2700.0,--
2024,DAV_LE_DESSINEUX,57,52.5,531,3000.0,39454,186.0,4300.0,--
2025,LESCRIBE,30,181.4,78,5500.0,39460,34.0,1500.0,--
2026,DOKKANESSENTIALS,67,31.0,160,2100.0,39473,903.0,941,--
2027,LANGNEUUR,55,58.7,136,3200.0,39482,226.0,2100.0,--
2028,TWITCH_TRAKI,81,10.1,2322,815.0,39496,184.0,171000,401000
2029,PLEUTRELOL,68,29.3,179,2000.0,39506,82.0,3500.0,--
2030,NORAGETY,42,105.6,381,4400.0,39561,30.0,6700.0,--
