,name,avg_viewers,time_streamed,all_time_peak_viewers,hours_watched,rank,follower_gained,total_followers,total_views
1429,WARHAMATEUR,117,17.3,423,2000.0,27516,41.0,4200.0,--
1430,BOOSHI_LOL,103,32.0,1233,3300.0,27549,127.0,4600.0,--
1431,GEROMEENLIVE,115,19.3,1580,2200.0,27603,32.0,6900.0,--
1432,ELYONA_SC2,91,48.1,6731,4400.0,27623,162.0,3700.0,--
1433,POSUU,123,11.3,7183,1400.0,27626,361.0,54500.0,--
1434,GAMESDREAMY,79,68.7,509,5400.0,27649,128.0,11700.0,--
1435,GREG16S,63,109.1,731,6900.0,27650,76.0,5000.0,--
1436,SOLARYEVENT,56,134.6,7807,7500.0,27652,380.0,95100.0,1980000.0
1437,DOIGT,97,38.5,1209,3800.0,27653,17.0,7000.0,--
1438,ACADIANWOMAN,57,129.4,1543,7400.0,27675,704.0,13300.0,--
1439,7M0UDI,93,44.2,177,4100.0,27686,1100.0,1200.0,--
1440,GIUK_RL,76,74.5,166,5700.0,27693,974.0,1500.0,--
1441,MAKAZIN,113,20.6,2338,2300.0,27709,113.0,8800.0,--
1442,ILESTBIENCELIVRE,75,76.7,480,5700.0,27750,33.0,5500.0,--
1443,NAWK_,118,15.3,1626,1800.0,27774,230.0,136000,799000
1444,SLMFREEMAN,111,21.8,290,2400.0,27782,80.0,6000.0,--
1445,FLAVIENALEXZANDER,75,75.4,195,5700.0,27863,382.0,7600.0,--
1446,BOUDDHISTE,75,75.3,2689,5600.0,27871,286.0,6600.0,--
1447,KAARMAR,99,35.2,3665,3500.0,27883,12.0,35500.0,605000
1448,GRUUB10,43,201.2,328,8600.0,27938,210.0,1800.0,--
1449,OPTIMUSPRIMECOC,82,60.0,2259,4900.0,27977,177.0,13800.0,--
1450,JUST1CHAT,89,48.6,234,4300.0,27991,999.0,8900.0,--
1451,BIGOOD,97,36.9,775,3600.0,27992,9.0,32400.0,--
1452,PIKETHAN,119,13.6,2058,1600.0,28004,77.0,1900.0,--
1453,CMK_OFF,124,9.2,304,1100.0,28017,229.0,1400.0,--
1454,ARTHEONTV,102,31.0,1027,3200.0,28041,31.0,37500.0,712000
1455,KD_VROUM_VROUM,128,6.2,305,786.0,28062,519.0,24500.0,--
1456,ANTHOSAN72,103,29.2,624,3000.0,28102,289.0,5100.0,--
1457,NEXTBACK_,56,129.9,852,7300.0,28104,145.0,7400.0,--
1458,LHOKARTV,72,80.3,426,5800.0,28129,86.0,8400.0,--
1459,MEHDITDONC,89,48.2,1618,4300.0,28176,1000.0,71600.0,--
1460,PURPLEOFFICIEL,57,125.6,558,7200.0,28180,112.0,5600.0,--
1461,MLADKOV,54,138.1,12957,7400.0,28194,54.0,113000,3330000.0
1462,JEANGOUESSE,79,64.7,352,5100.0,28195,72.0,2100.0,--
1463,EL_ZAAZOU,56,129.3,161,7200.0,28247,307.0,1200.0,--
1464,H1STYIE,122,9.6,574,1200.0,28303,12.0,162,--
1465,XAKO_TV,78,66.2,667,5200.0,28330,323.0,4700.0,--
1466,NANAAK,101,30.1,703,3000.0,28332,60.0,1600.0,--
1467,LEADNLZ,47,168.4,964,8000.0,28372,1100.0,21100.0,--
1468,KAHIKUSU,126,5.9,723,740.0,28375,1.0,3400.0,--
1469,KETO_WARRIOR,109,21.4,161,2300.0,28390,40.0,811,--
1470,COQTO,89,46.5,7581,4100.0,28397,132.0,394000,7620000.0
1471,MOZZARELLARL,107,23.5,1418,2500.0,28412,842.0,3000.0,--
1472,WECHAHINE,63,102.5,563,6500.0,28434,675.0,1400.0,--
1473,SQUEZZIEWAITINGROOM,67,90.5,359,6100.0,28441,300.0,302,--
1474,LIFEXADVISOR,47,166.6,464,7900.0,28448,143.0,8800.0,--
1475,STRAN0G0,69,85.4,1291,5900.0,28450,1400.0,16100.000000000002,324000
1476,CAPETLEVRAI,124,7.2,2933,895.0,28454,9.0,30000.0,--
1477,MADNESSATV,58,118.2,226,6900.0,28515,152.0,5100.0,--
1478,YORUICHI_TV,63,102.4,3470,6500.0,28526,157.0,20900.0,--
1479,LIBREETSAUVAGE,93,39.2,4430,3600.0,28579,119.0,12000.0,--
1480,NIMAJNEB_TV,55,128.7,751,7100.0,28585,289.0,1100.0,--
1481,DOMCASSE,83,55.2,843,4600.0,28606,32.0,7100.0,--
1482,PLAVASTATION,56,124.9,325,7000.0,28644,151.0,2900.0,--
1483,BABARBE,73,74.0,4839,5400.0,28689,321.0,63200.0,--
1484,2AKG_104,92,39.5,134,3600.0,28716,2300.0,2500.0,--
1485,ROJINETFUZIAH,61,105.6,841,6500.0,28717,3000.0,3800.0,--
1486,EVA_EVREUX,100,29.5,168,3000.0,28718,253.0,485,--
1487,VERLICO,56,124.8,131,6900.0,28728,678.0,9400.0,--
1488,ASB__TV,97,32.8,486,3200.0,28748,703.0,1200.0,--
1489,SBF26X,89,44.7,978,4000.0,28761,244.0,13400.0,--
1490,FEAR2B,101,28.5,164,2900.0,28767,6.0,1500.0,--
1491,LEGUMEN,73,74.8,520,5400.0,28828,140.0,9000.0,--
1492,LARAA_TV,70,79.8,2688,5600.0,28871,47.0,12600.0,--
1493,JOELAFRITT_,62,102.2,533,6300.0,28899,63.0,3500.0,--
1494,MISSDADOU,89,43.8,641,3900.0,28908,77.0,4700.0,--
1495,NIIOOR,66,91.3,120,6000.0,28943,50.0,2900.0,--
1496,JARLSPUNK,82,55.1,511,4500.0,28950,168.0,15800.0,--
