,Model_Name,Original_Price,Price_After_Sale,Processor,GPU,Memory,Hard_drive,LCD,Offer_Points,Stars
31,inspiron-15-5510,£699.00,£649.00,"""11th Gen Intel® Core™ i5-11320H (8 MB cache, 4 cores, 8 threads, up to 4.50 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, Narrow Border""",649,4.2
32,inspiron-15-3525,£699.00,£649.00,"""AMD Ryzen™ 7 5825U 8-core/16-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 120Hz, Non-Touch, AG, WVA, LED-Backlit, 250 nit, Narrow Border""",649,4.3
33,inspiron-14-5420,£699.00,£649.00,"""12th Generation Intel® Core™ i5-1235U (12MB Cache, up to 4.4 GHz, 10 cores)""","""Intel® UHD Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",649,4.0
34,inspiron-15-3511,£706.80,£656.80,"""11th Gen Intel® Core™ i5-1135G7 (8 MB cache, 4 cores, 8 threads, up to 4.20 GHz Turbo)""","""Intel® UHD Graphics""","""8 GB, 1 x 8 GB, DDR4, 2666 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, Narrow Border""",656,3.9
35,inspiron-14-5410,£769.00,£669.00,"""11th Gen Intel® Core™ i7-11390H (12 MB cache, 4 cores, 8 threads, up to 5.00 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD 1920x1080, 60Hz, Non-Touch, AG, Wide Viewing Angle, LED-Backlit, Narrow Border""",669,4.2
36,inspiron-14-5410,£769.00,£669.00,"""11th Gen Intel® Core™ i7-11390H (12 MB cache, 4 cores, 8 threads, up to 5.00 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD 1920x1080, 60Hz, Non-Touch, AG, Wide Viewing Angle, LED-Backlit, Narrow Border""",669,4.2
37,inspiron-14-5425,£749.00,£669.00,"""AMD Ryzen™ 7 5825U 8-core/16-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",669,4.2
38,inspiron-14-7425-2-in-1,£729.00,£679.00,"""AMD Ryzen™ 5 5625U 6-core/12-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8GB, 1x8GB, DDR4, 3200MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",679,4.3
39,inspiron-14-7425-2-in-1,£679.00,Nan,"""AMD Ryzen™ 5 5625U 6-core/12-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8GB, 1x8GB, DDR4, 3200MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",679,4.3
40,inspiron-14-7425-2-in-1,£742.80,£682.80,"""AMD Ryzen™ 5 5625U 6-core/12-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8GB, 1x8GB, DDR4, 3200MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",682,4.3
41,inspiron-16-5625,£768.99,£688.99,"""AMD Ryzen™ 7 5825U 8-core/16-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""16"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",688,4.1
42,inspiron-15-5510,£766.80,£694.80,"""11th Gen Intel® Core™ i5-11320H (8 MB cache, 4 cores, 8 threads, up to 4.50 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, Narrow Border""",694,4.2
43,inspiron-15-5510,£799.00,£699.00,"""11th Gen Intel® Core™ i7-11390H (12 MB cache, 4 cores, 8 threads, up to 5.00 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, Narrow Border""",699,4.2
44,inspiron-16-5620,£719.00,Nan,"""12th Generation Intel® Core™ i5-1235U (12MB Cache, up to 4.4 GHz, 10 cores)""","""Intel® UHD Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""16"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",719,4.3
45,inspiron-14-7420-2-in-1,£802.80,£724.80,"""12 Gen Intel® Core™ i5-1235U (12.0 MB cache, 10 cores, 12 threads, up to 4.40 GHz Turbo)""","""Intel® UHD Graphics""","""8GB, 1x8GB, DDR4, 3200MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",724,4.5
46,inspiron-14-7415-2-in-1,£868.99,£728.99,"""AMD Ryzen™ 7 5700U Mobile Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""16 GB, 2 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD 1920x1080, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",728,4.3
47,inspiron-14-7420-2-in-1,£749.00,Nan,"""12 Gen Intel® Core™ i5-1235U (12.0 MB cache, 10 cores, 12 threads, up to 4.40 GHz Turbo)""","""Intel® UHD Graphics""","""8GB, 1x8GB, DDR4, 3200MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",749,4.5
48,inspiron-14-5410-2-in-1,£849.00,£759.00,"""11th Gen Intel® Core™ i7-1195G7 (12 MB cache, 4 cores, 8 threads, up to 5.00 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD 1920x1080, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",759,4.1
49,inspiron-14-7420-2-in-1,£862.80,£766.80,"""12th Generation Intel® Core™ i5-1235U (12MB Cache, up to 4.4 GHz, 10 cores)""","""Intel® UHD Graphics""","""8GB, 1x8GB, DDR4, 3200MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",766,4.5
50,inspiron-16-5625,£869.00,£769.00,"""AMD Ryzen™ 7 5825U 8-core/16-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""16 GB, 2 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""16"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",769,4.1
